arquivo,titulo,dataset,nivel_evidencia,gerador,eixo_x,eixo_y,eixo_temporal,papel,largura_px,altura_px,fracao_nao_branca,variancia_luminancia,status_visual
resultados/qualidade/features_gpvs_qualidade.png,Qualidade das features saudáveis,GPVS F0L/F0M,E1,src.ml.gpvs_principal,tempo do ensaio / desbalanceamento,THD / densidade,True,canônica,4234,1788,0.17250903255736294,2179.6630752027945,ok
resultados/autoencoder/curva_treino.png,Convergência do autoencoder,GPVS F0L/F0M,E1,src.ml.autoencoder,época,função de perda,False,canônica,3634,1629,0.0574458265890017,964.9060751360392,ok
resultados/autoencoder/diagnostico_escore.png,Diagnóstico do escore,GPVS F0 + injeção FMECA,E2,src.ml.diagnostico_escore,magnitude injetada a_inj,taxa de detecção,False,canônica,4534,1629,0.05965377748857754,1004.3917366029503,ok
resultados/autoencoder/distribuicao_erro.png,Distribuição do erro saudável,GPVS F0L/F0M,E1,src.ml.autoencoder,erro de reconstrução,densidade / ECDF,False,canônica,4234,1788,0.05903181763903375,1153.9279549790751,ok
resultados/autoencoder/erro_temporal.png,Erro por posição temporal,GPVS F0L/F0M,E1,src.ml.autoencoder,tempo do ensaio,erro de reconstrução,True,canônica,3634,2706,0.6155043461176594,1047.6135059019864,ok
resultados/autoencoder/injecao_falhas_comparacao.png,Detecção por magnitude,GPVS F0 + injeção FMECA,E2,src.ml.injecao_falhas,magnitude injetada a_inj,taxa de detecção,False,canônica,3634,1629,0.056472142742997805,939.6408783618342,ok
resultados/autoencoder/injecao_falhas_resultados.png,Escore por magnitude,GPVS F0 + injeção FMECA,E2,src.ml.injecao_falhas,magnitude injetada a_inj,escore / limiar,False,canônica,4534,1629,0.15598426512404875,1068.8470184788669,ok
resultados/autoencoder/validacao_matriz.png,Matriz de confusão agregada,GPVS F0 + injeção FMECA,E2,src.ml.validacao,classe predita,classe real,False,canônica,4533,1629,0.612268234976112,6258.481384673306,ok
resultados/autoencoder/validacao_matrizes_severidades.png,Matrizes por severidade,GPVS F0 + injeção FMECA,E2,src.ml.validacao,classe predita,classe real,False,canônica,4326,4161,0.5132134210154103,7799.479517221933,ok
resultados/autoencoder/validacao_metricas.png,Métricas por magnitude,GPVS F0 + injeção FMECA,E2,src.ml.validacao,magnitude injetada a_inj,métrica de classificação,False,canônica,4232,2895,0.5997401164252296,8651.041594914703,ok
resultados/autoencoder/validacao_pr.png,Curvas precisão-revocação,GPVS F0 + injeção FMECA,E2,src.ml.validacao,revocação,precisão,False,canônica,4388,1629,0.06378898754513818,1260.432249354028,ok
resultados/autoencoder/validacao_roc.png,Curvas ROC,GPVS F0 + injeção FMECA,E2,src.ml.validacao,taxa de falso positivo,taxa de verdadeiro positivo,False,canônica,4388,1629,0.06487096064774012,1192.8590066906313,ok
resultados/autoencoder/weibull_ttf.png,Primeiro cruzamento do detector,GPVS F0 + injeção FMECA,E2,src.ml.graficos_rul,magnitude a_det,número de trajetórias,False,canônica,4534,1629,0.13727791086946103,2017.289935441939,ok
resultados/autoencoder/weibull_confiabilidade.png,Sobrevivência e intensidade de detecção,GPVS F0 + injeção FMECA,E2,src.ml.graficos_rul,magnitude a_det,S_D(a) / h_D(a),False,canônica,4534,2579,0.07359380069726078,1608.1145788801466,ok
resultados/autoencoder/weibull_distribuicao.png,Distribuição do primeiro cruzamento,GPVS F0 + injeção FMECA,E2,src.ml.graficos_rul,magnitude a_det,densidade / CDF / papel,False,canônica,4534,4161,0.14168947757481273,1409.0548030172513,ok
resultados/autoencoder/weibull_rul.png,Margem residual de magnitude,GPVS F0 + injeção FMECA,E2,src.ml.graficos_rul,magnitude já aplicada,margem em a_det,False,canônica,4534,1629,0.20980881643718843,1236.3308031165604,ok
resultados/autoencoder/weibull_sensibilidade_grade.png,Sensibilidade à resolução,GPVS F0 + injeção FMECA,E2,src.ml.graficos_rul,magnitude a_det,ECDF por resolução,False,canônica,4534,1629,0.05778304728775938,1012.6087763111831,ok
resultados/autoencoder/weibull_modos_operacao.png,Estratificação F0L/F0M,GPVS F0 + injeção FMECA,E2,src.ml.graficos_rul,magnitude a_det,ECDF por modo,False,canônica,4535,1629,0.07138882289917516,1250.8235730507804,ok
resultados/gpvs/gpvs_series_temporais.png,Séries temporais GPVS,GPVS F1L-F7M,E3,src.ml.validacao_gpvs_principal,tempo do ensaio,sinal / escore,True,canônica,4234,6693,0.09540057679111298,1321.538961899311,ok
resultados/gpvs/gpvs_metricas_por_cenario.png,Métricas por cenário real,GPVS F1L-F7M,E3,src.ml.validacao_gpvs_principal,ensaio,métrica de classificação,False,canônica,4534,2579,0.32839287769817394,4212.158411734699,ok
resultados/gpvs/gpvs_transferencia_estrita.png,Transferência estrita,GPVS F1L-F7M,E3,src.ml.validacao_gpvs_principal,ensaio,métrica de classificação,False,canônica,3027,2262,0.7108627714553691,5768.6207076743485,ok
resultados/gpvs/gpvs_macro_comparacao.png,Resumo macro GPVS,GPVS F1L-F7M,E3,src.ml.validacao_gpvs_principal,métrica,estimativa e IC95%,False,canônica,3034,1788,0.33650875462137536,3659.4399916086627,ok
resultados/macro/comparacao_deteccao_severidade.png,Comparação macro,GPVS e benchmarks documentais,E2/E4,src.ml.macro_comparacao,severidade,detecção,False,comparativa,4534,1657,0.051473491109484855,865.1065451595979,ok
resultados/macro/ibrahim_deteccao_severidade.png,Benchmark Ibrahim,benchmark documental,E4,src.ml.macro_comparacao,severidade,detecção,False,comparativa,4534,1657,0.04616870482233212,777.1693943700377,ok
resultados/macro/proposto_deteccao_severidade.png,Método proposto,GPVS F0 + injeção FMECA,E2,src.ml.macro_comparacao,severidade,detecção,False,comparativa,4534,1657,0.04601975977653185,777.5743931350605,ok
