falha,falha_id,npr,severidade,f1,auc_roc,recall,precision,accuracy,auc_pr,average_precision,average_precision_ci_low,average_precision_ci_high,specificity,fpr,fnr,n_neg,n_pos,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,auc_roc_ci_low,auc_roc_ci_high,threshold_method,score_method,score_threshold,threshold_effective_percentile,threshold_source,evidence_level,precision_raro,f1_raro
Contator AC,contator_ac,315,0.05,0.020833333333333332,0.488785603019212,0.010676156583629894,0.42857142857142855,0.498220640569395,0.496301055275508,0.496301055275508,0.4604601034919243,0.5416203498532514,0.9857651245551602,0.014234875444839857,0.9893238434163701,281,281,0.0036373733921627304,0.03091328107169205,0.9639771162934658,0.9944507794569619,0.44107344131913223,0.5376856929370196,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.037974683544303806,0.01666666666666667
Contator AC,contator_ac,315,0.1,0.013937282229965157,0.4970555084155469,0.0071174377224199285,0.3333333333333333,0.49644128113879005,0.4998672810659167,0.4998672810659167,0.4676252377195587,0.5467355749501325,0.9857651245551602,0.014234875444839857,0.9928825622775801,281,281,0.001954033090224131,0.025575171587913236,0.9639771162934658,0.9944507794569619,0.4521165512088246,0.54403028077152,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.025641025641025644,0.011142061281337047
Contator AC,contator_ac,315,0.2,0.07432432432432433,0.7103126860095489,0.03914590747330961,0.7333333333333333,0.5124555160142349,0.7008812764351633,0.7008812764351633,0.6542674325595583,0.75727147898925,0.9857651245551602,0.014234875444839857,0.9608540925266904,281,281,0.021996705646490953,0.06872554710310318,0.9639771162934658,0.9944507794569619,0.6660401970593077,0.7487310191107002,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.12643678160919541,0.059782608695652176
Contator AC,contator_ac,315,0.3,0.5459183673469388,0.8998872861285951,0.3807829181494662,0.963963963963964,0.6832740213523132,0.9107000216587117,0.9107000216587117,0.8825442886788991,0.9362907150648357,0.9857651245551602,0.014234875444839857,0.6192170818505338,281,281,0.32597720430077576,0.43880422787769063,0.9639771162934658,0.9944507794569619,0.8705319714795912,0.9285305403933588,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.5846994535519127,0.4612068965517242
Contator AC,contator_ac,315,0.5,0.9522058823529411,0.9954281227441395,0.9217081850533808,0.9847908745247148,0.9537366548042705,0.9948607135332174,0.9948607135332174,0.9895416106209697,0.9987173495515554,0.9857651245551602,0.014234875444839857,0.07829181494661919,281,281,0.8843105426678534,0.9477312569396609,0.9639771162934658,0.9944507794569619,0.9908391484403692,0.998765529818518,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.773134328358209,0.8409090909090909
Contator AC,contator_ac,315,0.7,0.9929328621908127,0.9999113486404682,1.0,0.9859649122807017,0.9928825622775801,0.9999110720810038,0.9999110720810038,0.9996697293272023,1.0,0.9857651245551602,0.014234875444839857,0.0,281,281,0.9865136948932973,0.9999999999999998,0.9639771162934658,0.9944507794569619,0.9996707235217386,1.0,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.7871148459383754,0.8808777429467085
Contator AC,contator_ac,315,1.0,0.9929328621908127,1.0,1.0,0.9859649122807017,0.9928825622775801,1.0,1.0,0.9999999999999999,1.0,0.9857651245551602,0.014234875444839857,0.0,281,281,0.9865136948932973,0.9999999999999998,0.9639771162934658,0.9944507794569619,0.9999999999999999,1.0,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.7871148459383754,0.8808777429467085
IGBT,igbt,90,0.05,0.020833333333333332,0.48337787008776484,0.010676156583629894,0.42857142857142855,0.498220640569395,0.4887042538219425,0.4887042538219425,0.45232178374897003,0.5345601016333295,0.9857651245551602,0.014234875444839857,0.9893238434163701,281,281,0.0036373733921627304,0.03091328107169205,0.9639771162934658,0.9944507794569619,0.43142627373006925,0.5303380782918149,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.037974683544303806,0.01666666666666667
IGBT,igbt,90,0.1,0.020833333333333332,0.5576930383353808,0.010676156583629894,0.42857142857142855,0.498220640569395,0.550099552409383,0.550099552409383,0.5081952567841058,0.6034243038717781,0.9857651245551602,0.014234875444839857,0.9893238434163701,281,281,0.0036373733921627304,0.03091328107169205,0.9639771162934658,0.9944507794569619,0.5130257342232242,0.6062397892630539,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.037974683544303806,0.01666666666666667
IGBT,igbt,90,0.2,0.4594594594594595,0.851356999024835,0.302491103202847,0.9550561797752809,0.6441281138790036,0.8712299630572757,0.8712299630572757,0.8386183347567971,0.9024242240813772,0.9857651245551602,0.014234875444839857,0.697508896797153,281,281,0.25174527672880614,0.35856426016387705,0.9639771162934658,0.9944507794569619,0.8192484264383683,0.8817457352363826,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.5279503105590062,0.38461538461538464
