falha,falha_id,escopo,n_steps,delta_a,persistencia_magnitude,persistencia_pontos,n_traj,n_eventos,n_niveis_distintos,taxa_empates,mediana_a_det,beta,eta,r2_papel,aderencia_p_value,status_aderencia
Contator AC,contator_ac,global,101,0.01,0.02,3,277,277,45,0.8375451263537906,0.35,3.853031502066381,0.3971173533692754,0.8981389964892307,,nao_testado_formalmente_triagem_visual_incompativel
Contator AC,contator_ac,F0L,101,0.01,0.02,3,142,142,34,0.7605633802816901,0.425,5.467938897374134,0.4623600874831966,0.9143695021358192,,nao_testado_formalmente_triagem_visual_compativel
Contator AC,contator_ac,F0M,101,0.01,0.02,3,135,135,24,0.8222222222222222,0.29,5.921892993695255,0.30994456453339997,0.9291768324455824,,nao_testado_formalmente_triagem_visual_compativel
IGBT,igbt,global,101,0.01,0.02,3,277,277,35,0.8736462093862816,0.26,3.385357930251113,0.31179870875031,0.9298672838526656,,nao_testado_formalmente_triagem_visual_compativel
IGBT,igbt,F0L,101,0.01,0.02,3,142,142,31,0.7816901408450705,0.34,4.673910570372073,0.36835652226271615,0.7366324428976816,,nao_testado_formalmente_triagem_visual_incompativel
IGBT,igbt,F0M,101,0.01,0.02,3,135,135,18,0.8666666666666667,0.23,6.294892477944034,0.23717770069709374,0.9671757780654655,,nao_testado_formalmente_triagem_visual_compativel
Fusível AC,fusivel_ac,global,101,0.01,0.02,3,277,277,5,0.9819494584837545,0.05,5.297234412626258,0.04560258753489064,0.4223906946107955,,resolucao_insuficiente
Fusível AC,fusivel_ac,F0L,101,0.01,0.02,3,142,142,5,0.9647887323943662,0.04,4.68498933925709,0.041645509770670996,-0.1704666278165028,,resolucao_insuficiente
Fusível AC,fusivel_ac,F0M,101,0.01,0.02,3,135,135,4,0.9703703703703703,0.05,7.306681944811139,0.049087615979988015,0.5995765023006714,,resolucao_insuficiente
Contator AC,contator_ac,global,251,0.004,0.02,6,277,277,87,0.6859205776173285,0.348,3.869252455540689,0.39703565666313884,0.9249086534742474,,nao_testado_formalmente_triagem_visual_compativel
Contator AC,contator_ac,F0L,251,0.004,0.02,6,142,142,64,0.5492957746478873,0.422,5.498866709088299,0.4621232556395854,0.9076982332447258,,nao_testado_formalmente_triagem_visual_compativel
Contator AC,contator_ac,F0M,251,0.004,0.02,6,135,135,45,0.6666666666666667,0.284,5.9579766467432,0.3098327230095786,0.9505417959822009,,nao_testado_formalmente_triagem_visual_compativel
IGBT,igbt,global,251,0.004,0.02,6,277,277,78,0.7184115523465704,0.26,3.3777312439326717,0.31194685768726726,0.9307048954529078,,nao_testado_formalmente_triagem_visual_compativel
IGBT,igbt,F0L,251,0.004,0.02,6,142,142,61,0.5704225352112676,0.34,4.68365624642646,0.36883261621304425,0.7914182470794783,,nao_testado_formalmente_triagem_visual_incompativel
IGBT,igbt,F0M,251,0.004,0.02,6,135,135,41,0.6962962962962963,0.228,6.253375362187622,0.2368651651567634,0.9789810989695859,,nao_testado_formalmente_triagem_visual_compativel
Fusível AC,fusivel_ac,global,251,0.004,0.02,6,277,277,11,0.9602888086642599,0.044,5.334097726751272,0.04537422495775272,0.830091864649588,,nao_testado_formalmente_triagem_visual_incompativel
Fusível AC,fusivel_ac,F0L,251,0.004,0.02,6,142,142,9,0.9366197183098591,0.04,4.62844048512729,0.0417204310963855,0.6952980594661619,,nao_testado_formalmente_triagem_visual_incompativel
Fusível AC,fusivel_ac,F0M,251,0.004,0.02,6,135,135,9,0.9333333333333333,0.048,7.3968604632457,0.04857070410051927,0.8862723304927375,,nao_testado_formalmente_triagem_visual_incompativel
Contator AC,contator_ac,global,501,0.002,0.02,11,277,277,140,0.4945848375451264,0.348,3.8677367898196087,0.3970048906943836,0.9329886131527093,0.00398406374501992,desvio_detectado_bootstrap_quantizado
Contator AC,contator_ac,F0L,501,0.002,0.02,11,142,142,87,0.38732394366197187,0.421,5.491742446237266,0.46208356647614257,0.912545544829259,0.00398406374501992,desvio_detectado_bootstrap_quantizado
Contator AC,contator_ac,F0M,501,0.002,0.02,11,135,135,75,0.4444444444444444,0.284,5.963975597523944,0.30983777250421246,0.9583773821195027,0.16733067729083664,compativel_bootstrap_quantizado
IGBT,igbt,global,501,0.002,0.02,11,277,277,126,0.5451263537906137,0.258,3.37924711824018,0.3119974108070119,0.929232635938368,0.00398406374501992,desvio_detectado_bootstrap_quantizado
IGBT,igbt,F0L,501,0.002,0.02,11,142,142,85,0.4014084507042254,0.338,4.685358936478265,0.36886074439937844,0.81725025347622,0.00398406374501992,desvio_detectado_bootstrap_quantizado
IGBT,igbt,F0M,501,0.002,0.02,11,135,135,68,0.49629629629629635,0.226,6.2536349688098065,0.23695585402112002,0.9824938539679554,0.3705179282868526,compativel_bootstrap_quantizado
Fusível AC,fusivel_ac,global,501,0.002,0.02,11,277,277,20,0.927797833935018,0.042,5.314033515913761,0.045464735328597225,0.87032672064491,0.00398406374501992,desvio_detectado_bootstrap_quantizado
Fusível AC,fusivel_ac,F0L,501,0.002,0.02,11,142,142,15,0.8943661971830986,0.038,4.6339562019875284,0.04186459240780299,0.7247887626790328,0.00398406374501992,desvio_detectado_bootstrap_quantizado
Fusível AC,fusivel_ac,F0M,501,0.002,0.02,11,135,135,17,0.8740740740740741,0.046,7.258741369424646,0.0486337822760941,0.917188448287559,0.6055776892430279,compativel_bootstrap_quantizado
