model,component,component_name,npr,magnitude,detections,n_trajectories,detection_probability,ci95_low,ci95_high
ae_denso,contator_ac,Contator AC,315,0.0,5,281,0.017793594306049824,0.007623705881025664,0.040969848154263966
ae_lstm,contator_ac,Contator AC,315,0.0,8,281,0.028469750889679714,0.014495231644970803,0.055162671747471075
ae_denso,contator_ac,Contator AC,315,0.01,5,281,0.017793594306049824,0.007623705881025664,0.040969848154263966
ae_lstm,contator_ac,Contator AC,315,0.01,8,281,0.028469750889679714,0.014495231644970803,0.055162671747471075
ae_denso,contator_ac,Contator AC,315,0.02,5,281,0.017793594306049824,0.007623705881025664,0.040969848154263966
ae_lstm,contator_ac,Contator AC,315,0.02,8,281,0.028469750889679714,0.014495231644970803,0.055162671747471075
ae_denso,contator_ac,Contator AC,315,0.03,5,281,0.017793594306049824,0.007623705881025664,0.040969848154263966
ae_lstm,contator_ac,Contator AC,315,0.03,8,281,0.028469750889679714,0.014495231644970803,0.055162671747471075
ae_denso,contator_ac,Contator AC,315,0.04,5,281,0.017793594306049824,0.007623705881025664,0.040969848154263966
ae_lstm,contator_ac,Contator AC,315,0.04,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,contator_ac,Contator AC,315,0.05,4,281,0.014234875444839857,0.005549220543038051,0.036022883706534156
ae_lstm,contator_ac,Contator AC,315,0.05,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,contator_ac,Contator AC,315,0.06,3,281,0.010676156583629894,0.003637373392162732,0.03091328107169205
ae_lstm,contator_ac,Contator AC,315,0.06,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,contator_ac,Contator AC,315,0.07,3,281,0.010676156583629894,0.003637373392162732,0.03091328107169205
ae_lstm,contator_ac,Contator AC,315,0.07,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,contator_ac,Contator AC,315,0.08,3,281,0.010676156583629894,0.003637373392162732,0.03091328107169205
ae_lstm,contator_ac,Contator AC,315,0.08,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,contator_ac,Contator AC,315,0.09,3,281,0.010676156583629894,0.003637373392162732,0.03091328107169205
ae_lstm,contator_ac,Contator AC,315,0.09,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,contator_ac,Contator AC,315,0.1,3,281,0.010676156583629894,0.003637373392162732,0.03091328107169205
ae_lstm,contator_ac,Contator AC,315,0.1,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,contator_ac,Contator AC,315,0.11,3,281,0.010676156583629894,0.003637373392162732,0.03091328107169205
ae_lstm,contator_ac,Contator AC,315,0.11,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,contator_ac,Contator AC,315,0.12,3,281,0.010676156583629894,0.003637373392162732,0.03091328107169205
ae_lstm,contator_ac,Contator AC,315,0.12,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,contator_ac,Contator AC,315,0.13,4,281,0.014234875444839857,0.005549220543038051,0.036022883706534156
