analysis,model,model_name,seed,is_reference,experiment,fault,fault_type,mode,mode_name,sequence_length,decision_target,context_policy,uses_future_windows,crosses_experiment_or_split,transition_post_windows,n_pre_fault_test,n_post_fault_evaluated,post_fault_context_reset,context_fully_post_fault,score_threshold,score_top_k,auc_pr,auc_roc,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,f1,precision,precision_defined,recall,false_positive_rate,tn,fp,fn,tp
current_full,ae_denso,Autoencoder Denso,13,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,False,False,3.5103249549865723,5,0.937761637464458,0.857162146522125,0.6770186335403726,0.6241156940756879,0.7257477039479888,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.826086956521739,0.6168897525164957,0.8014705882352942,0.9819819819819819,True,0.6770186335403726,0.024844720496894408,157,4,104,218
transition,ae_denso,Autoencoder Denso,13,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,7,False,False,3.5103249549865723,5,0.04667221745122177,0.5882874889086069,0.0,5.551115123125783e-17,0.35433043506668743,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.48757763975155277,-0.03256448045129181,0.0,0.0,True,0.0,0.024844720496894408,157,4,7,0
sustained,ae_denso,Autoencoder Denso,13,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,315,False,True,3.5103249549865723,5,0.9399227510894468,0.8631371389135364,0.692063492063492,0.6390251093781741,0.7404738442633797,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.8336093857832988,0.6327659856974902,0.8119180633147114,0.9819819819819819,True,0.692063492063492,0.024844720496894408,157,4,97,218
post_fault_reset,ae_denso,Autoencoder Denso,13,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,True,True,3.5103249549865723,5,0.937761637464458,0.857162146522125,0.6770186335403726,0.6241156940756879,0.7257477039479888,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.826086956521739,0.6168897525164957,0.8014705882352942,0.9819819819819819,True,0.6770186335403726,0.024844720496894408,157,4,104,218
current_full,ae_denso,Autoencoder Denso,29,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,False,False,3.3771872520446777,5,0.9341099899375849,0.8487712665406426,0.6708074534161491,0.6177306863996089,0.7198568029214828,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.8229813664596273,0.6114474279428438,0.7970479704797048,0.9818181818181818,True,0.6708074534161491,0.024844720496894408,157,4,106,216
transition,ae_denso,Autoencoder Denso,29,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,7,False,False,3.3771872520446777,5,0.03722409594365726,0.49245785270629994,0.0,5.551115123125783e-17,0.35433043506668743,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.48757763975155277,-0.03256448045129181,0.0,0.0,True,0.0,0.024844720496894408,157,4,7,0
sustained,ae_denso,Autoencoder Denso,29,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,315,False,True,3.3771872520446777,5,0.9370172540313012,0.8566893424036282,0.6857142857142857,0.6324717484048379,0.7344817852816232,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.8304347826086956,0.6271228769282766,0.8074766355140187,0.9818181818181818,True,0.6857142857142857,0.024844720496894408,157,4,99,216
post_fault_reset,ae_denso,Autoencoder Denso,29,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,True,True,3.3771872520446777,5,0.9341099899375849,0.8487712665406426,0.6708074534161491,0.6177306863996089,0.7198568029214828,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.8229813664596273,0.6114474279428438,0.7970479704797048,0.9818181818181818,True,0.6708074534161491,0.024844720496894408,157,4,106,216
current_full,ae_denso,Autoencoder Denso,42,True,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,False,False,3.461894989013672,5,0.9351632497885493,0.851240307086918,0.6677018633540373,0.6145419226317103,0.7169076123380888,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.8214285714285714,0.6087392806700049,0.7948243992606284,0.9817351598173516,True,0.6677018633540373,0.024844720496894408,157,4,107,215
transition,ae_denso,Autoencoder Denso,42,True,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,7,False,False,3.461894989013672,5,0.04198194851752577,0.5545696539485359,0.0,5.551115123125783e-17,0.35433043506668743,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.48757763975155277,-0.03256448045129181,0.0,0.0,True,0.0,0.024844720496894408,157,4,7,0
