metric,difference_dense_minus_lstm,ci95_low,ci95_high,n_paired_experiments,n_valid_paired_experiments,bootstrap_unit
recall,-0.0025560526676169696,-0.011708670917126308,0.005372065260644648,14,14,paired_experiment
f1,-0.0011616290052642556,-0.017897570563085552,0.012955939248670287,14,14,paired_experiment
precision,-0.05992499568014201,-0.19729733665521826,0.020001788774030804,14,9,paired_experiment
auc_roc,0.02528373954923896,0.008169217260629717,0.045265192859967315,14,14,paired_experiment
auc_pr,0.020686134152158604,0.004904687605467307,0.03999607262934846,14,14,paired_experiment
false_positive_rate,-0.007916704037913478,-0.026197870452528842,0.005600092860779573,14,14,paired_experiment
specificity,0.007916704037913478,-0.005609060103442135,0.026588292996738816,14,14,paired_experiment
sensitivity,-0.0025560526676169696,-0.011540202809795848,0.005372065260644645,14,14,paired_experiment
balanced_accuracy,0.002680325685148251,-0.0028255336903787744,0.009969118049600456,14,14,paired_experiment
mcc,0.007222950260708629,-0.011157809590216346,0.029027572404422563,14,14,paired_experiment
