model,seed,metric,macro_mean,n_valid_experiments
ae_denso,13,recall,0.4059754957509731,14
ae_denso,13,f1,0.46413210654232245,14
ae_denso,13,precision,0.9139425167949148,13
ae_denso,13,auc_roc,0.7751590920451082,14
ae_denso,13,auc_pr,0.8622365569773187,14
ae_denso,13,false_positive_rate,0.021738469959300788,14
ae_denso,13,specificity,0.9782615300406992,14
ae_denso,13,sensitivity,0.4059754957509731,14
ae_denso,13,balanced_accuracy,0.692118512895836,14
ae_denso,13,mcc,0.3950074667351213,14
ae_denso,29,recall,0.4077288899445185,14
ae_denso,29,f1,0.4654742288883011,14
ae_denso,29,precision,0.8989133892009045,14
ae_denso,29,auc_roc,0.7749391661788299,14
ae_denso,29,auc_pr,0.8634672194528642,14
ae_denso,29,false_positive_rate,0.02967276832502916,14
ae_denso,29,specificity,0.9703272316749707,14
ae_denso,29,sensitivity,0.4077288899445185,14
ae_denso,29,balanced_accuracy,0.6890280608097445,14
ae_denso,29,mcc,0.3875555284662052,14
ae_denso,42,recall,0.40729404547551246,14
ae_denso,42,f1,0.46659867813933487,14
ae_denso,42,precision,0.9229559523847739,13
ae_denso,42,auc_roc,0.7739583991468245,14
ae_denso,42,auc_pr,0.8618504150911235,14
ae_denso,42,false_positive_rate,0.026444045607736128,14
ae_denso,42,specificity,0.9735559543922637,14
ae_denso,42,sensitivity,0.40729404547551246,14
ae_denso,42,balanced_accuracy,0.6904249999338882,14
ae_denso,42,mcc,0.3939588831925712,14
ae_denso,71,recall,0.40247287982542274,14
ae_denso,71,f1,0.45869681909029947,14
ae_denso,71,precision,0.921520573138974,14
ae_denso,71,auc_roc,0.7749568767185974,14
ae_denso,71,auc_pr,0.8631023224745858,14
ae_denso,71,false_positive_rate,0.02241782698684272,14
ae_denso,71,specificity,0.9775821730131572,14
ae_denso,71,sensitivity,0.40247287982542274,14
ae_denso,71,balanced_accuracy,0.6900275264192899,14
ae_denso,71,mcc,0.392004776391588,14
ae_denso,101,recall,0.41931431004704917,14
ae_denso,101,f1,0.4818037922417083,14
ae_denso,101,precision,0.9178347110657459,14
ae_denso,101,auc_roc,0.7755793509809845,14
ae_denso,101,auc_pr,0.8633026500798783,14
ae_denso,101,false_positive_rate,0.03204640518818873,14
ae_denso,101,specificity,0.9679535948118112,14
ae_denso,101,sensitivity,0.41931431004704917,14
ae_denso,101,balanced_accuracy,0.69363395242943,14
ae_denso,101,mcc,0.4011870742020492,14
ae_lstm,13,recall,0.3818128061227646,14
ae_lstm,13,f1,0.4290961356699948,14
ae_lstm,13,precision,0.9414414414414414,9
ae_lstm,13,auc_roc,0.7489463719557051,14
ae_lstm,13,auc_pr,0.8412256691168732,14
ae_lstm,13,false_positive_rate,0.004646061323079957,14
ae_lstm,13,specificity,0.99535393867692,14
ae_lstm,13,sensitivity,0.3818128061227646,14
ae_lstm,13,balanced_accuracy,0.6885833723998424,14
ae_lstm,13,mcc,0.37268622951010605,14
ae_lstm,29,recall,0.3956252324794963,14
ae_lstm,29,f1,0.44481729949277543,14
ae_lstm,29,precision,0.9476587620645427,10
ae_lstm,29,auc_roc,0.7527589392149542,14
ae_lstm,29,auc_pr,0.8429642533619448,14
ae_lstm,29,false_positive_rate,0.03016811837908914,14
ae_lstm,29,specificity,0.9698318816209108,14
ae_lstm,29,sensitivity,0.3956252324794963,14
ae_lstm,29,balanced_accuracy,0.6827285570502035,14
ae_lstm,29,mcc,0.3653193849099388,14
ae_lstm,42,recall,0.38729918379118694,14
ae_lstm,42,f1,0.4356861931645172,14
ae_lstm,42,precision,0.9468114187131471,10
ae_lstm,42,auc_roc,0.7593495550037966,14
ae_lstm,42,auc_pr,0.8474991625681527,14
ae_lstm,42,false_positive_rate,0.018537414965986394,14
ae_lstm,42,specificity,0.9814625850340136,14
ae_lstm,42,sensitivity,0.38729918379118694,14
ae_lstm,42,balanced_accuracy,0.6843808844126003,14
ae_lstm,42,mcc,0.3671496994774385,14
ae_lstm,71,recall,0.3893802875176479,14
ae_lstm,71,f1,0.43754652590095416,14
ae_lstm,71,precision,0.9394213654327692,9
ae_lstm,71,auc_roc,0.7493094275828991,14
ae_lstm,71,auc_pr,0.8425423587090025,14
ae_lstm,71,false_positive_rate,0.022786650892240957,14
ae_lstm,71,specificity,0.9772133491077591,14
ae_lstm,71,sensitivity,0.3893802875176479,14
ae_lstm,71,balanced_accuracy,0.6832968183127035,14
ae_lstm,71,mcc,0.3632070218053679,14
ae_lstm,101,recall,0.38524094254628155,14
ae_lstm,101,f1,0.4336416920265932,14
ae_lstm,101,precision,0.9578901227352425,10
ae_lstm,101,auc_roc,0.7487218828797862,14
ae_lstm,101,auc_pr,0.843250701330506,14
ae_lstm,101,false_positive_rate,0.011954056985112886,14
ae_lstm,101,specificity,0.9880459430148871,14
ae_lstm,101,sensitivity,0.38524094254628155,14
ae_lstm,101,balanced_accuracy,0.6866434427805842,14
ae_lstm,101,mcc,0.373200685285174,14
