model,model_name,seed,is_reference,experiment,fault,fault_type,mode,mode_name,n_commissioning,n_pre_fault_test,n_post_fault_test,fault_boundary_method,score_threshold,score_top_k,threshold_requested_percentile,threshold_effective_percentile,auc_pr,auc_roc,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,f1,precision,precision_defined,recall,false_positive_rate,tn,fp,fn,tp
ae_denso,Autoencoder Denso,13,False,F1L,1,Falha total em um IGBT,L,IPPT (potência limitada),161,161,322,nominal_mid_record,6.9307708740234375,5,99.9,100.0,0.937761637464458,0.857162146522125,0.6614906832298136,0.608171788100064,0.7110018381671498,0.9813664596273292,0.9466544229682271,0.9936430065067258,0.8214285714285714,0.609498781003657,0.79182156133829,0.9861111111111112,True,0.6614906832298136,0.018633540372670808,158,3,109,213
ae_denso,Autoencoder Denso,29,False,F1L,1,Falha total em um IGBT,L,IPPT (potência limitada),161,161,322,nominal_mid_record,4.722944259643555,5,99.9,100.0,0.9341099899375849,0.8487712665406426,0.6614906832298136,0.608171788100064,0.7110018381671498,0.9813664596273292,0.9466544229682271,0.9936430065067258,0.8214285714285714,0.609498781003657,0.79182156133829,0.9861111111111112,True,0.6614906832298136,0.018633540372670808,158,3,109,213
ae_denso,Autoencoder Denso,42,True,F1L,1,Falha total em um IGBT,L,IPPT (potência limitada),161,161,322,nominal_mid_record,5.104478359222412,5,99.9,100.0,0.9351632497885493,0.851240307086918,0.6614906832298136,0.608171788100064,0.7110018381671498,0.9813664596273292,0.9466544229682271,0.9936430065067258,0.8214285714285714,0.609498781003657,0.79182156133829,0.9861111111111112,True,0.6614906832298136,0.018633540372670808,158,3,109,213
ae_denso,Autoencoder Denso,71,False,F1L,1,Falha total em um IGBT,L,IPPT (potência limitada),161,161,322,nominal_mid_record,5.563272953033447,5,99.9,100.0,0.9371003408382332,0.857760117279426,0.6614906832298136,0.608171788100064,0.7110018381671498,0.9813664596273292,0.9466544229682271,0.9936430065067258,0.8214285714285714,0.609498781003657,0.79182156133829,0.9861111111111112,True,0.6614906832298136,0.018633540372670808,158,3,109,213
ae_denso,Autoencoder Denso,101,False,F1L,1,Falha total em um IGBT,L,IPPT (potência limitada),161,161,322,nominal_mid_record,5.649452209472656,5,99.9,100.0,0.9363849755411073,0.8546738165965819,0.6614906832298136,0.608171788100064,0.7110018381671498,0.9875776397515528,0.9558435956299433,0.9965867039027511,0.8245341614906831,0.6156652782269767,0.7932960893854749,0.9906976744186047,True,0.6614906832298136,0.012422360248447204,159,2,109,213
ae_lstm,AE-LSTM,13,False,F1L,1,Falha total em um IGBT,L,IPPT (potência limitada),161,161,322,nominal_mid_record,25.407878875732422,5,99.9,100.0,0.9280099127865925,0.8349022028471124,0.6614906832298136,0.608171788100064,0.7110018381671498,0.9503105590062112,0.9050236267620834,0.974609452424163,0.8059006211180124,0.5789011946862915,0.7845303867403315,0.9638009049773756,True,0.6614906832298136,0.049689440993788817,153,8,109,213
ae_lstm,AE-LSTM,29,False,F1L,1,Falha total em um IGBT,L,IPPT (potência limitada),161,161,322,nominal_mid_record,21.43026351928711,5,99.9,100.0,0.9344586947547195,0.8533428494271054,0.6925465838509317,0.6401227245152488,0.7404304452648909,0.8881987577639752,0.8302036055575723,0.9281007730512607,0.7903726708074534,0.5475331324407062,0.7921847246891652,0.9253112033195021,True,0.6925465838509317,0.11180124223602485,143,18,99,223
ae_lstm,AE-LSTM,42,True,F1L,1,Falha total em um IGBT,L,IPPT (potência limitada),161,161,322,nominal_mid_record,18.583059310913086,5,99.9,100.0,0.9268753462584159,0.832876818023996,0.6832298136645962,0.630510797724591,0.731628509001671,0.8757763975155279,0.8159118522469151,0.9181267862464353,0.7795031055900621,0.5270462766947299,0.7829181494661922,0.9166666666666666,True,0.6832298136645962,0.12422360248447205,141,20,102,220
ae_lstm,AE-LSTM,71,False,F1L,1,Falha total em um IGBT,L,IPPT (potência limitada),161,161,322,nominal_mid_record,23.55827522277832,5,99.9,100.0,0.932682322481545,0.8492727904016047,0.6677018633540373,0.6145419226317103,0.7169076123380888,0.937888198757764,0.8894517511392782,0.9659155879314855,0.8027950310559007,0.5722930891116554,0.7861060329067642,0.9555555555555556,True,0.6677018633540373,0.062111801242236024,151,10,107,215
ae_lstm,AE-LSTM,101,False,F1L,1,Falha total em um IGBT,L,IPPT (potência limitada),161,161,322,nominal_mid_record,20.811450958251953,5,99.9,100.0,0.9327414885594424,0.849272790401605,0.6894409937888198,0.6369161522136786,0.7374990632151683,0.8881987577639752,0.8302036055575723,0.9281007730512607,0.7888198757763976,0.5446144859178875,0.7900355871886121,0.925,True,0.6894409937888198,0.11180124223602485,143,18,100,222
ae_denso,Autoencoder Denso,13,False,F1M,1,Falha total em um IGBT,M,MPPT (potência máxima),173,174,347,nominal_mid_record,6.9307708740234375,5,99.9,100.0,0.9625125289458833,0.909917519626354,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
ae_denso,Autoencoder Denso,29,False,F1M,1,Falha total em um IGBT,M,MPPT (potência máxima),173,174,347,nominal_mid_record,4.722944259643555,5,99.9,100.0,0.9608705161751727,0.9069197389777733,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
ae_denso,Autoencoder Denso,42,True,F1M,1,Falha total em um IGBT,M,MPPT (potência máxima),173,174,347,nominal_mid_record,5.104478359222412,5,99.9,100.0,0.9617956563447204,0.9087747192686076,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
ae_denso,Autoencoder Denso,71,False,F1M,1,Falha total em um IGBT,M,MPPT (potência máxima),173,174,347,nominal_mid_record,5.563272953033447,5,99.9,100.0,0.9628459320874172,0.9111265692802014,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
ae_denso,Autoencoder Denso,101,False,F1M,1,Falha total em um IGBT,M,MPPT (potência máxima),173,174,347,nominal_mid_record,5.649452209472656,5,99.9,100.0,0.9617227349853517,0.9089237801848356,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
