injection_id,model,a,pod
igbt,ae_denso,0.02,0.0071174377224199285
igbt,ae_denso,0.04,0.0071174377224199285
igbt,ae_denso,0.06,0.03202846975088968
igbt,ae_denso,0.08,0.21352313167259787
igbt,ae_denso,0.1,0.45195729537366547
igbt,ae_denso,0.12,0.501779359430605
igbt,ae_denso,0.14,0.5338078291814946
igbt,ae_denso,0.16,0.7366548042704626
igbt,ae_denso,0.18,0.8790035587188612
igbt,ae_denso,0.2,0.9715302491103203
igbt,ae_denso,0.22,0.99644128113879
igbt,ae_denso,0.24,1.0
igbt,ae_denso,0.26,1.0
igbt,ae_denso,0.28,1.0
igbt,ae_denso,0.3,1.0
igbt,ae_denso,0.32,1.0
igbt,ae_denso,0.34,1.0
igbt,ae_denso,0.36,1.0
igbt,ae_denso,0.38,1.0
igbt,ae_denso,0.4,1.0
igbt,ae_denso,0.42,1.0
igbt,ae_denso,0.44,1.0
igbt,ae_denso,0.46,1.0
igbt,ae_denso,0.48,1.0
igbt,ae_denso,0.5,1.0
igbt,ae_denso,0.52,1.0
igbt,ae_denso,0.54,1.0
igbt,ae_denso,0.56,1.0
igbt,ae_denso,0.58,1.0
igbt,ae_denso,0.6,1.0
igbt,ae_denso,0.62,1.0
igbt,ae_denso,0.64,1.0
igbt,ae_denso,0.66,1.0
igbt,ae_denso,0.68,1.0
igbt,ae_denso,0.7,1.0
igbt,ae_denso,0.72,1.0
igbt,ae_denso,0.74,1.0
igbt,ae_denso,0.76,1.0
igbt,ae_denso,0.78,1.0
igbt,ae_denso,0.8,1.0
igbt,ae_denso,0.82,1.0
igbt,ae_denso,0.84,1.0
igbt,ae_denso,0.86,1.0
igbt,ae_denso,0.88,1.0
igbt,ae_denso,0.9,1.0
igbt,ae_denso,0.92,1.0
igbt,ae_denso,0.94,1.0
igbt,ae_denso,0.96,1.0
igbt,ae_denso,0.98,1.0
igbt,ae_denso,1.0,1.0
igbt,ae_lstm,0.02,0.0071174377224199285
igbt,ae_lstm,0.04,0.0071174377224199285
igbt,ae_lstm,0.06,0.0071174377224199285
igbt,ae_lstm,0.08,0.010676156583629894
igbt,ae_lstm,0.1,0.010676156583629894
igbt,ae_lstm,0.12,0.021352313167259787
igbt,ae_lstm,0.14,0.1601423487544484
igbt,ae_lstm,0.16,0.40569395017793597
igbt,ae_lstm,0.18,0.4875444839857651
igbt,ae_lstm,0.2,0.498220640569395
igbt,ae_lstm,0.22,0.501779359430605
igbt,ae_lstm,0.24,0.5124555160142349
igbt,ae_lstm,0.26,0.594306049822064
igbt,ae_lstm,0.28,0.7366548042704626
igbt,ae_lstm,0.3,0.8576512455516014
igbt,ae_lstm,0.32,0.9501779359430605
igbt,ae_lstm,0.34,0.9893238434163701
igbt,ae_lstm,0.36,0.99644128113879
