experiment,fault,fault_type,mode,mode_name,n_windows,n_baseline,n_pre_test,n_post_test,baseline_fraction_of_pre,n_pre_fault,n_post_fault,false_positives_pre,true_positives_post,auc,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,sustained_detection,detection_delay_s,median_score_pre,median_score_post
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),645,161,161,322,0.5,161,322,3,215,0.8581651942440494,0.6677018633540373,0.6145419226317103,0.7169076123380888,0.9813664596273292,0.9466544229682271,0.9936430065067258,0.8245341614906831,True,2.1797711919303397,0.2613243259608473,114.0368649181822
F1M,1,Falha total em um IGBT,M,MPPT (potencia maxima),695,173,174,347,0.49855907780979825,174,347,0,272,0.9057935009440523,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,True,1.4998649602490506,0.17941099048580314,26110.58877757702
F2L,2,Falha de 20% em sensor de fase,L,IPPT (potencia limitada),710,177,178,354,0.49859154929577465,178,354,33,280,0.8979400749063671,0.7909604519774012,0.7455910565407833,0.8300828764878145,0.8146067415730337,0.7510872751081858,0.8648338725022624,0.8027835967752175,True,1.7584119794481596,0.39536174609618757,603.4909944760794
F2M,2,Falha de 20% em sensor de fase,M,MPPT (potencia maxima),720,180,180,359,0.5,180,359,0,286,0.9011915815536985,0.7966573816155988,0.7519844173014559,0.8350488304764901,1.0,0.9791045020783868,1.0,0.8983286908077994,True,1.47984740654766,0.16527144781765477,1885.7712723375596
F3L,3,Afundamentos intermitentes de tensao,L,IPPT (potencia limitada),517,129,129,258,0.5,129,258,2,73,0.6776335556757406,0.28294573643410853,0.23147951942448525,0.34078073109338153,0.9844961240310077,0.9452333688810886,0.9957379296103084,0.6337209302325582,True,3.7196290321682,0.23462422920688816,0.29573065168852436
F3M,3,Afundamentos intermitentes de tensao,M,MPPT (potencia maxima),349,87,87,174,0.5,87,174,0,13,0.5342845818470076,0.07471264367816093,0.04417947281230249,0.12361862679045275,1.0,0.9577124930558795,0.9999999999999999,0.5373563218390804,True,3.21967668463189,0.17762913585096854,0.18332324077167203
F4L,4,Sombreamento parcial nao uniforme (10-20%),L,IPPT (potencia limitada),720,180,180,359,0.5,180,359,0,0,0.5544103992571959,0.0,0.0,0.010587155153602403,1.0,0.9791045020783868,1.0,0.5,False,,0.11450163089594398,0.13447015298655482
F4M,4,Sombreamento parcial nao uniforme (10-20%),M,MPPT (potencia maxima),720,180,180,359,0.5,180,359,0,6,0.5335964097802539,0.016713091922005572,0.007681695415852265,0.0359777553872119,1.0,0.9791045020783868,1.0,0.5083565459610028,False,,0.1703391981920695,0.17392429163026069
F5L,5,Circuito aberto em 15% do arranjo PV,L,IPPT (potencia limitada),715,178,179,357,0.49859943977591037,179,357,5,357,1.0,1.0,0.9893541644764191,1.0,0.9720670391061452,0.9362870793666515,0.9880109495925905,0.9860335195530726,True,0.0,0.267316214892204,550.751788679348
F5M,5,Circuito aberto em 15% do arranjo PV,M,MPPT (potencia maxima),720,180,180,359,0.5,180,359,6,352,0.9950943980191891,0.9805013927576601,0.9603050272381884,0.9905234726838371,0.9666666666666667,0.9291956595913273,0.9846352090151671,0.9735840297121634,True,0.1599841295302502,0.2418638767199191,23175.650600580848
F6L,6,Ganho PI do MPPT/IPPT reduzido em 20%,L,IPPT (potencia limitada),720,180,180,359,0.5,180,359,3,19,0.6715258433921386,0.052924791086350974,0.03414056926230104,0.08117552211459693,0.9833333333333333,0.952151771962928,0.9943159133795125,0.5181290622098421,False,,0.2928564311710666,0.3974112986612153
F6M,6,Ganho PI do MPPT/IPPT reduzido em 20%,M,MPPT (potencia maxima),720,180,180,359,0.5,180,359,1,10,0.7151810584958216,0.027855153203342618,0.015199394956296637,0.0505082529464087,0.9944444444444445,0.9692069292336208,0.9990186339327839,0.5111497988238936,False,,0.2830029933117392,0.39159877205645016
F7L,7,Constante de tempo PI elevada em 20%,L,IPPT (potencia limitada),720,180,180,359,0.5,180,359,9,17,0.7834416589291241,0.04735376044568245,0.029772647892024464,0.07451934493505293,0.95,0.9077191903535553,0.9734748615169928,0.4986768802228412,False,,0.2090752804364937,0.5127420561336336
F7M,7,Constante de tempo PI elevada em 20%,M,MPPT (potencia maxima),720,180,180,359,0.5,180,359,2,59,0.7978644382544103,0.16434540389972144,0.12960248142550168,0.20619558094780804,0.9888888888888889,0.9603989991004155,0.9969476251540074,0.5766171463943052,True,4.0795782080204805,0.2418873663811848,0.5745165080235584
