experiment,fault,fault_type,mode,mode_name,method,seed,n_baseline,n_pre_test,n_post_test,baseline_fraction_of_pre,true_negatives,false_positives,false_negatives,true_positives,auc_roc,average_precision,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,sustained_detection,detection_delay_from_nominal_midpoint_s,median_index_pre,median_index_post
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,42.0,161,161,322,0.5,154,7,102,220,0.8581073261062458,0.938259547027904,0.6832298136645962,0.630510797724591,0.731628509001671,0.9565217391304348,0.9129839454170278,0.97878200382696,0.8198757763975155,0.6042536901223126,True,2.1797711919303397,0.31981215367801497,190.62423550406436
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_ensemble,,161,161,322,0.5,156,5,105,217,0.8549438679063308,0.9369281323518567,0.6739130434782609,0.6209219375624075,0.7228035061099767,0.968944099378882,0.9293683966075118,0.9866632927519586,0.8214285714285714,0.6080770417662601,True,2.1797711919303397,0.29638813891504606,149.84208346609233
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),pca,,161,161,322,0.5,158,3,109,213,0.841286987384746,0.9331755258341519,0.6614906832298136,0.608171788100064,0.7110018381671498,0.9813664596273292,0.9466544229682271,0.9936430065067258,0.8214285714285714,0.609498781003657,True,2.1797711919303397,0.16026892749866334,175.77382005675767
F1M,1,Falha total em um IGBT,M,MPPT (potencia maxima),autoencoder_v2,42.0,173,174,347,0.49855907780979825,174,0,75,272,0.9142899731690352,0.9636847103916857,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,True,1.4998649602490506,0.2280239000384462,22391.28974411425
F1M,1,Falha total em um IGBT,M,MPPT (potencia maxima),autoencoder_ensemble,,173,174,347,0.49855907780979825,174,0,75,272,0.913047798867137,0.9633070516753537,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,True,1.4998649602490506,0.21413250946806955,31307.869918354736
F1M,1,Falha total em um IGBT,M,MPPT (potencia maxima),pca,,173,174,347,0.49855907780979825,174,0,75,272,0.9251217330815862,0.967910416729026,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,True,1.4998649602490506,0.14722281185805217,5328.88750897933
F2L,2,Falha de 20% em sensor de fase,L,IPPT (potencia limitada),autoencoder_v2,42.0,177,178,354,0.49859154929577465,133,45,66,288,0.9010188535517044,0.9573441813665259,0.8135593220338984,0.769700837750366,0.8506856337658899,0.7471910112359551,0.678583139139175,0.8053549054118916,0.7803751666349268,0.5468050509459255,True,1.7584119794481596,0.637496894863042,1144.3327236366604
F2L,2,Falha de 20% em sensor de fase,L,IPPT (potencia limitada),autoencoder_ensemble,,177,178,354,0.49859154929577465,133,45,65,289,0.8973211451786961,0.9559568946760565,0.8163841807909604,0.7727294004807714,0.8532461383464416,0.7471910112359551,0.678583139139175,0.8053549054118916,0.7817875960134577,0.5501203002010905,True,1.73843020175027,0.6158540283493711,928.7519518861072
F2L,2,Falha de 20% em sensor de fase,L,IPPT (potencia limitada),pca,,177,178,354,0.49859154929577465,164,14,83,271,0.9037484923506636,0.9582195411860587,0.7655367231638418,0.7186978817879227,0.8066744454420597,0.9213483146067416,0.8723212857134466,0.9525731084076894,0.8434425188852916,0.6498674454358765,True,1.7584119794481596,0.43375959133285935,878.1897373673539
F2M,2,Falha de 20% em sensor de fase,M,MPPT (potencia maxima),autoencoder_v2,42.0,180,180,359,0.5,179,1,73,286,0.9053543794490869,0.9610152797226386,0.7966573816155988,0.7519844173014559,0.8350488304764901,0.9944444444444445,0.9692069292336208,0.9990186339327839,0.8955509130300217,0.7477813768634957,True,1.47984740654766,0.23545473201237455,3690.1181502223294
