experiment,fault,fault_type,mode,mode_name,method,window_index,phase,evaluation_role,time_center_s,time_from_nominal_midpoint_s,anomaly_index
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,0,pre_falha,baseline,0.010008278332615644,-6.449426073727304,0.7001451323640088
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,1,pre_falha,baseline,0.030006184556672352,-6.429428167503247,0.9076462820686572
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,2,pre_falha,baseline,0.0500042374036953,-6.4094301146562245,0.11834223535984545
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,3,pre_falha,baseline,0.07000229025071646,-6.389432061809203,0.09709302967292374
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,4,pre_falha,baseline,0.09000019647477406,-6.369434155585146,0.41372744749521223
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,5,pre_falha,baseline,0.1099982493217955,-6.3494361027381245,0.3402367412667226
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,6,pre_falha,baseline,0.12999630216881802,-6.329438049891102,0.1290854106179272
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,7,pre_falha,baseline,0.149994208392875,-6.309440143667045,0.19308503627670043
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,8,pre_falha,baseline,0.16999211461693198,-6.289442237442988,0.15344012862266584
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,9,pre_falha,baseline,0.1899901674639545,-6.269444184595965,0.5063595388613149
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,10,pre_falha,baseline,0.209988220310976,-6.249446131748944,0.49576607248608545
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,11,pre_falha,baseline,0.229986126535033,-6.229448225524886,0.10930765663100836
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,12,pre_falha,baseline,0.24998417938205447,-6.209450172677865,0.6269741189946731
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,13,pre_falha,baseline,0.26998223222907747,-6.189452119830842,2.088672187394807
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,14,pre_falha,baseline,0.289980138453133,-6.1694542136067865,1.1688433556992517
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,15,pre_falha,baseline,0.30997819130015647,-6.1494561607597635,0.4475936380980441
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,16,pre_falha,baseline,0.32997624414717797,-6.1294581079127415,0.32509771858675557
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,17,pre_falha,baseline,0.349974150371235,-6.109460201688685,0.4140738000541655
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,18,pre_falha,baseline,0.36997220321825697,-6.089462148841663,0.4765830991843058
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,19,pre_falha,baseline,0.38997010944231403,-6.069464242617606,0.31415011612419474
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,20,pre_falha,baseline,0.40996816228933697,-6.049466189770583,0.4461747716828416
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,21,pre_falha,baseline,0.42996606851339303,-6.029468283546526,0.3147245779242565
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,22,pre_falha,baseline,0.4499641213604155,-6.009470230699504,0.30090172971079976
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,23,pre_falha,baseline,0.469962174207437,-5.989472177852483,0.13529354181795916
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,24,pre_falha,baseline,0.48996008043149397,-5.9694742716284255,0.4002740662416406
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,25,pre_falha,baseline,0.5099581332785155,-5.949476218781404,0.2566555661568266
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,26,pre_falha,baseline,0.529956186125538,-5.929478165934382,0.6813561018389269
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,27,pre_falha,baseline,0.5499540923495949,-5.909480259710325,0.4235854254363229
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,28,pre_falha,baseline,0.569952145196617,-5.889482206863303,0.2065669756264604
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,29,pre_falha,baseline,0.589950051420675,-5.869484300639245,0.05744803996491362
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,30,pre_falha,baseline,0.609948104267696,-5.849486247792224,0.22359962305978312
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,31,pre_falha,baseline,0.629946010491754,-5.829488341568165,0.36672640386750904
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,32,pre_falha,baseline,0.6499440633387745,-5.809490288721145,0.10866902174326842
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,33,pre_falha,baseline,0.6699421161857979,-5.789492235874122,0.15025154783389055
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,34,pre_falha,baseline,0.6899400224098545,-5.769494329650065,0.3427596036863359
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,35,pre_falha,baseline,0.7099380752568765,-5.749496276803043,0.11755034917717273
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,36,pre_falha,baseline,0.7299361281038985,-5.729498223956021,0.14354385661592295
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,37,pre_falha,baseline,0.749934034327955,-5.7095003177319645,0.10699201619876124
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,38,pre_falha,baseline,0.769932087174978,-5.689502264884942,0.1922136769271319
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,39,pre_falha,baseline,0.789929993399034,-5.669504358660886,0.2884559640706481
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,40,pre_falha,baseline,0.809928046246057,-5.649506305813863,0.2739069361022422
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,41,pre_falha,baseline,0.829925952470113,-5.629508399589807,0.6561388160844572
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,42,pre_falha,baseline,0.8499240053171355,-5.609510346742784,0.5711977972833813
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,43,pre_falha,baseline,0.869922058164158,-5.589512293895762,0.19146558799879146
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,44,pre_falha,baseline,0.8899199643882145,-5.569514387671705,0.2715867656297292
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,45,pre_falha,baseline,0.9099180172352365,-5.549516334824683,1.062321096377866
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,46,pre_falha,baseline,0.9299160700822591,-5.52951828197766,1.032059879078291
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,47,pre_falha,baseline,0.9499139763063145,-5.509520375753605,0.7784136626591815
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,48,pre_falha,baseline,0.9699120291533385,-5.4895223229065815,0.8071988325267981
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,49,pre_falha,baseline,0.9899099353773945,-5.469524416682526,0.2406557120401547
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),autoencoder_v2,50,pre_falha,baseline,1.009907988224417,-5.449526363835503,0.15078479426080868
