experiment,fault,fault_type,mode,mode_name,seed,n_baseline,n_pre_test,n_post_test,baseline_fraction_of_pre,true_negatives,false_positives,false_negatives,true_positives,auc_roc,average_precision,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,sustained_detection,detection_delay_from_nominal_midpoint_s,median_index_pre,median_index_post
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),13,161,161,322,0.5,154,7,105,217,0.8567377801782339,0.9374548616926883,0.6739130434782609,0.6209219375624075,0.7228035061099767,0.9565217391304348,0.9129839454170278,0.97878200382696,0.8152173913043479,0.5959463289819202,True,2.1797711919303397,0.28151112329854994,122.37229103228758
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),29,161,161,322,0.5,156,5,107,215,0.8509895451564368,0.9347487133541797,0.6677018633540373,0.6145419226317103,0.7169076123380888,0.968944099378882,0.9293683966075118,0.9866632927519586,0.8183229813664596,0.6026284746552066,True,2.1797711919303397,0.2630507851859541,149.84208346609233
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),42,161,161,322,0.5,154,7,102,220,0.8581073261062458,0.938259547027904,0.6832298136645962,0.630510797724591,0.731628509001671,0.9565217391304348,0.9129839454170278,0.97878200382696,0.8198757763975155,0.6042536901223126,True,2.1797711919303397,0.31981215367801497,190.62423550406436
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),71,161,161,322,0.5,156,5,101,221,0.856911384591644,0.9382160749280274,0.6863354037267081,0.6337121835685221,0.7345650775090325,0.968944099378882,0.9293683966075118,0.9866632927519586,0.8276397515527951,0.6190798607379197,True,2.1797711919303397,0.31594769795812616,172.25646561055794
F1L,1,Falha total em um IGBT,L,IPPT (potencia limitada),101,161,161,322,0.5,157,4,104,218,0.86084641796227,0.9390223500829138,0.6770186335403726,0.6241156940756878,0.7257477039479889,0.9751552795031055,0.9378676444810962,0.9902969149361153,0.826086956521739,0.6168897525164957,True,2.1797711919303397,0.2824594128763172,125.93579034594792
F1M,1,Falha total em um IGBT,M,MPPT (potencia maxima),13,173,174,347,0.49855907780979825,174,0,75,272,0.9121203087217199,0.963114114566478,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,True,1.4998649602490506,0.2116345757986074,22044.107301620475
F1M,1,Falha total em um IGBT,M,MPPT (potencia maxima),29,173,174,347,0.49855907780979825,174,0,75,272,0.9157308953592368,0.9645563803719982,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,True,1.4998649602490506,0.20893455758008744,52557.717020575874
F1M,1,Falha total em um IGBT,M,MPPT (potencia maxima),42,173,174,347,0.49855907780979825,174,0,75,272,0.9142899731690352,0.9636847103916857,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,True,1.4998649602490506,0.2280239000384462,22391.28974411425
F1M,1,Falha total em um IGBT,M,MPPT (potencia maxima),71,173,174,347,0.49855907780979825,174,0,75,272,0.9084765974361523,0.9608829998945518,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,True,1.4998649602490506,0.21466673902584055,31307.869918354736
F1M,1,Falha total em um IGBT,M,MPPT (potencia maxima),101,173,174,347,0.49855907780979825,174,0,75,272,0.9126006161184538,0.9631185699568354,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,True,1.4998649602490506,0.20189237650827152,52292.71547249156
