method,role,experiment,window_index,time_center_s,score
autoencoder_v2,calibracao,F0L,468,9.36902627688809,0.05753358709281156
autoencoder_v2,calibracao,F0L,469,9.389024183112145,0.04647388671646986
autoencoder_v2,calibracao,F0L,470,9.40902223595917,0.09809261397435282
autoencoder_v2,calibracao,F0L,471,9.42902028880619,0.060339317546383525
autoencoder_v2,calibracao,F0L,472,9.449018195030245,0.06552293059323573
autoencoder_v2,calibracao,F0L,473,9.46901624787727,0.08485945387028042
autoencoder_v2,calibracao,F0L,474,9.489014300724289,0.09862433026048585
autoencoder_v2,calibracao,F0L,475,9.509012206948345,0.11142975359451718
autoencoder_v2,calibracao,F0L,476,9.52901025979537,0.06472272580300337
autoencoder_v2,calibracao,F0L,477,9.549008312642389,0.08778442404486168
autoencoder_v2,calibracao,F0L,478,9.569006218866445,0.21764888715819133
autoencoder_v2,calibracao,F0L,479,9.5890041250905,0.07651437171914856
autoencoder_v2,calibracao,F0L,480,9.609002177937525,0.06774358049395084
autoencoder_v2,calibracao,F0L,481,9.62900023078455,0.07811424772335956
autoencoder_v2,calibracao,F0L,482,9.648998137008604,0.12680709749786404
autoencoder_v2,calibracao,F0L,483,9.66899618985563,0.1844822245059771
autoencoder_v2,calibracao,F0L,484,9.688994242702655,0.090620761025763
autoencoder_v2,calibracao,F0L,485,9.708992148926704,0.08386326135478721
autoencoder_v2,calibracao,F0L,486,9.72899020177373,0.11290057459280067
autoencoder_v2,calibracao,F0L,487,9.748988254620755,0.12499837910454696
autoencoder_v2,calibracao,F0L,488,9.768986160844804,0.14588888652389842
autoencoder_v2,calibracao,F0L,489,9.78898421369183,0.18666624900800216
autoencoder_v2,calibracao,F0L,490,9.808982119915889,0.19198558554588568
autoencoder_v2,calibracao,F0L,491,9.828980172762904,0.12557995875849787
autoencoder_v2,calibracao,F0L,492,9.848978078986963,0.11076849253930353
autoencoder_v2,calibracao,F0L,493,9.868976131833989,0.11343606891806873
autoencoder_v2,calibracao,F0L,494,9.888974184681004,0.10256962754540723
autoencoder_v2,calibracao,F0L,495,9.908972090905065,0.0860434413842771
autoencoder_v2,calibracao,F0L,496,9.928970143752089,0.10758874373278876
autoencoder_v2,calibracao,F0L,497,9.948968196599104,0.11035236084400912
autoencoder_v2,calibracao,F0L,498,9.96896610282317,0.08317260041025937
autoencoder_v2,calibracao,F0L,499,9.98896415567019,0.043779581638520804
autoencoder_v2,calibracao,F0L,500,10.008962208517211,0.04421087135547703
autoencoder_v2,calibracao,F0L,501,10.028960114741299,0.07960074683244761
autoencoder_v2,calibracao,F0L,502,10.048958020965301,0.11064922691950826
